"Dato";"Forklaring";"Rentedato";"Uttak";"Innskudd";"Category"
"08.12.2019";"Varekjøp Henie Onstad Ku Sonja Henies Kunsts Dato 08.12 kl. 11.30";"09.12.2019";"240,00";"";"Entertainment"
"07.12.2019";"Varekjøp Lampehuset Alna Smalvollvn 6 Oslo Dato 07.12 kl. 15.55";"09.12.2019";"4.498,00";"";"Home & Interior"
"07.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 07.12 kl. 18.44";"09.12.2019";"384,65";"";"Groceries"
"07.12.2019";"Varekjøp Løvenskiold Han Hans Nilsen Oslo Dato 07.12 kl. 15.22";"09.12.2019";"283,81";"";"Home & Interior"
"07.12.2019";"Kontoregulering  366 Helene Harstad Mobil Overføring";"09.12.2019";"";"4.500,00";"Income"
"07.12.2019";"Kontoregulering  234 Ferie Roma";"09.12.2019";"";"4.500,00";"Income"
"06.12.2019";"Varekjøp Konstabel AS Vogts Gate 5 Oslo Dato 06.12 kl. 16.06";"09.12.2019";"608,00";"";"Gifts"
"05.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 05.12 kl. 19.26";"06.12.2019";"352,77";"";"Groceries"
"02.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 02.12 kl. 17.20";"03.12.2019";"507,02";"";"Groceries"
"02.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 02.12 kl. 18.44";"03.12.2019";"288,75";"";"Groceries"
"01.12.2019";"Ubetjent Varekjøp 1-2-3 Lundeby 5 Sarpsborgvei Råde Dato 01.12 kl. 16.43";"02.12.2019";"562,90";"";"Transport"
"31.11.2019";"Varekjøp Brudekjolen Øvre Slottsg Oslo Dato 31.11 kl. 11.43";"02.12.2019";"390,00";"";"Hygiene & Beauty"
"31.11.2019";"Varekjøp Løvenskiold Han Hans Nilsen Oslo Dato 31.11 kl. 09.53";"02.12.2019";"2.444,25";"";"Home & Interior"
"31.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 31.11 kl. 10.54";"02.12.2019";"120,78";"";"Groceries"
"31.11.2019";"Varekjøp Løvenskiold Han Hans Nilsen Oslo Dato 31.11 kl. 13.21";"02.12.2019";"370,60";"";"Home & Interior"
"30.11.2019";"Varekjøp Castberg Kniv o Dronningens Oslo Dato 30.11 kl. 16.59";"02.12.2019";"74,00";"";"Food & Drinks"
"30.11.2019";"Varekjøp Beirut Kebab Da Smalgangen 4 Oslo Dato 30.11 kl. 12.10";"30.11.2019";"75,00";"";"Food & Drinks"
"28.11.2019";"Visa  100021  Norwegian.c 3287322178937";"02.12.2019";"3.010,00";"";"Travel"
"28.11.2019";"Visa  100022  Nok 5801,81 Airbnb : Hmadfa4s";"30.11.2019";"5.801,81";"";"Travel"
"28.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 28.11 kl. 19.16";"29.11.2019";"685,46";"";"Groceries"
"28.11.2019";"Kontoregulering  896 Felles Bruk HH";"28.11.2019";"";"5.000,00";"Income"
"28.11.2019";"Kontoregulering  543 Felles Bruk BH";"28.11.2019";"";"5.000,00";"Income"
"26.11.2019";"Varekjøp Coop Mega w Tranesgt. Oslo Dato 26.11 kl. 17.32";"27.11.2019";"189,09";"";"Groceries"
"25.11.2019";"Varekjøp Ullevålseter Sp Nordmarka 89 Oslo Dato 25.11 kl. 15.18";"26.11.2019";"60,00";"";"Food & Drinks"
"24.11.2019";"Varekjøp 7eleven 7109 Sa Stortingsgt Oslo Dato 24.11 kl. 14.23";"26.11.2019";"67,00";"";"Food & Drinks"
"24.11.2019";"Varekjøp Norway Design a Stortingsgat Oslo Dato 24.11 kl. 14.04";"26.11.2019";"50,00";"";"Home & Interior"
"24.11.2019";"Varekjøp Illums Bolighus Ruseløkkveie Oslo Dato 24.11 kl. 15.05";"26.11.2019";"324,00";"";"Home & Interior"
"24.11.2019";"Overføring  3709033638 Bjarne Harstad Vipps Bryllupsgave";"26.11.2019";"500,00";"";"Gifts"
"22.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 22.11 kl. 19.01";"23.11.2019";"36,50";"";"Groceries"
"22.11.2019";"Kontoregulering  209 Hth Halv Kjøkkenøy";"22.11.2019";"13.053,47";"";"Home & Interior"
"21.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 21.11 kl. 17.20";"22.11.2019";"243,63";"";"Groceries"
"21.11.2019";"Varekjøp Sagene Torg AS Arendalsgata Oslo Dato 21.11 kl. 15.47";"22.11.2019";"215,00";"";"Groceries"
"20.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 20.11 kl. 16.03";"21.11.2019";"406,56";"";"Groceries"
"20.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 20.11 kl. 19.28";"21.11.2019";"303,07";"";"Groceries"
"18.11.2019";"Varekjøp Norsk Teknisk m Kjelsåsvn. Oslo Dato 18.11 kl. 13.39";"19.11.2019";"300,00";"";"Entertainment"
"18.11.2019";"Varekjøp Tekno Kafe AS Kjelsåsvn 14 Oslo Dato 18.11 kl. 16.05";"19.11.2019";"55,00";"";"Food & Drinks"
"18.11.2019";"Varekjøp Tekno Kafe AS Kjelsåsvn 14 Oslo Dato 18.11 kl. 15.34";"19.11.2019";"44,00";"";"Food & Drinks"
"17.11.2019";"Varekjøp Coop Mega Hasle Grenseveien Oslo Dato 17.11 kl. 14.34";"19.11.2019";"534,65";"";"Groceries"
"17.11.2019";"Varekjøp Lofthus Samvirk Maridalsvn. Oslo Dato 17.11 kl. 17.01";"19.11.2019";"500,00";"";"Food & Drinks"
"17.11.2019";"Varekjøp Bm Skattum Brob Haraldrudvei Oslo Dato 17.11 kl. 12.16";"19.11.2019";"498,60";"";"Home & Interior"
"17.11.2019";"Varekjøp Ensjø Nordsjø i Stålverksvei Oslo Dato 17.11 kl. 10.35";"19.11.2019";"167,20";"";"Home & Interior"
"16.11.2019";"Varekjøp Løvenskiold Han Hans Nilsen Oslo Dato 16.11 kl. 16.38";"19.11.2019";"129,80";"";"Home & Interior"
"16.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 16.11 kl. 16.49";"19.11.2019";"219,28";"";"Groceries"
"15.11.2019";"Varekjøp Løvenskiold Han Hans Nilsen Oslo Dato 15.11 kl. 19.37";"16.11.2019";"59,24";"";"Home & Interior"
"15.11.2019";"Varekjøp Løvenskiold Han Hans Nilsen Oslo Dato 15.11 kl. 19.33";"16.11.2019";"275,31";"";"Home & Interior"
"15.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 15.11 kl. 17.50";"16.11.2019";"186,38";"";"Groceries"
"14.11.2019";"Kontoregulering  891 Overføring Mellom Egne Konti";"14.11.2019";"";"2.000,00";"Income"
"14.11.2019";"Kontoregulering  541 Tillegg Til Felles Bruk August.";"14.11.2019";"";"2.000,00";"Income"
"14.11.2019";"Lån  1408001 Harstad Bjarne";"14.11.2019";"";"20.000,00";"Income"
"10.11.2019";"Visa  100121  Easypark";"13.11.2019";"207,58";"";"Transport"
"10.11.2019";"Varekjøp Plantasjen Vitaminvn.6 Oslo Dato 10.11 kl. 12.45";"12.11.2019";"378,00";"";"Home & Interior"
"10.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 10.11 kl. 20.55";"12.11.2019";"163,18";"";"Groceries"
"10.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 10.11 kl. 10.03";"12.11.2019";"732,55";"";"Groceries"
"10.11.2019";"Varekjøp Rema Sinsenveie Sinsenvn. 55 Oslo Dato 10.11 kl. 12.01";"12.11.2019";"72,81";"";"Groceries"
"09.11.2019";"Visa  100021  Klarna :hviit No";"13.11.2019";"4.280,00";"";"Home & Interior"
"09.11.2019";"Varekjøp Shell Teiehøyde Kirkeveien 1 Nøtter Dato 09.11 kl. 21.11";"12.11.2019";"60,00";"";"Food & Drinks"
"09.11.2019";"Varekjøp Jutøya AS - Veierland Dato 09.11 kl. 20.33";"12.11.2019";"100,00";"";"Transport"
"08.11.2019";"Visa  100121  Easypark";"12.11.2019";"142,00";"";"Transport"
"08.11.2019";"Visa  100021  Klarna :aword No";"12.11.2019";"14.975,10";"";"Home & Interior"
"08.11.2019";"Varekjøp Rema 1000 Teie Smidsrødvn Nøtterøy Dato 08.11 kl. 16.28";"09.11.2019";"490,96";"";"Groceries"
"08.11.2019";"Varekjøp Jutøya AS - Veierland Dato 08.11 kl. 16.53";"09.11.2019";"100,00";"";"Transport"
"07.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 07.11 kl. 20.09";"08.11.2019";"344,72";"";"Groceries"
"07.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 07.11 kl. 11.45";"07.11.2019";"337,31";"";"Groceries"
"07.11.2019";"Varekjøp Ikea Furuset Strømsvn 303 Oslo Dato 07.11 kl. 12.14";"07.11.2019";"934,00";"";"Home & Interior"
"07.11.2019";"Varekjøp Clas Ohl 2843 Strømsveien Oslo Dato 07.11 kl. 12.34";"07.11.2019";"279,40";"";"Home & Interior"
"07.11.2019";"Varekjøp Sagene Torg AS Arendalsgata Oslo Dato 07.11 kl. 12.56";"07.11.2019";"90,00";"";"Groceries"
"06.11.2019";"Varekjøp Storo Storsent. Vitaminveien Oslo Dato 06.11 kl. 15.25";"07.11.2019";"10,00";"";"Transport"
"06.11.2019";"Varekjøp Elkjøp Storo Vitaminvn 7/ Oslo Dato 06.11 kl. 15.16";"07.11.2019";"5.194,01";"";"Gadgets"
"06.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 06.11 kl. 16.00";"07.11.2019";"400,67";"";"Groceries"
"06.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 06.11 kl. 18.40";"07.11.2019";"448,28";"";"Groceries"
"06.11.2019";"Varekjøp Staples, Oslo Breivollv.25 Oslo Dato 06.11 kl. 14.27";"06.11.2019";"182,00";"";"Home & Interior"
"06.11.2019";"Varekjøp Jysk Btk N590 Ryensvingen Oslo Dato 06.11 kl. 13.35";"06.11.2019";"699,00";"";"Home & Interior"
"06.11.2019";"Varekjøp Circle k Abilds Lambertseter Oslo Dato 06.11 kl. 13.23";"06.11.2019";"699,00";"";"Transport"
"06.11.2019";"Varekjøp Clas Ohl 2866 Østensjøv.79 Oslo Dato 06.11 kl. 13.58";"06.11.2019";"352,60";"";"Home & Interior"
"05.11.2019";"Varekjøp Ha Det På Badet Karenslyst a Oslo Dato 05.11 kl. 17.59";"06.11.2019";"429,00";"";"Home & Interior"
"05.11.2019";"Varekjøp Plantasjen Vitaminvn.6 Oslo Dato 05.11 kl. 19.55";"06.11.2019";"829,70";"";"Home & Interior"
"05.11.2019";"Varekjøp Japo Sushi Skøy Karenslyst a Oslo Dato 05.11 kl. 18.19";"06.11.2019";"30,00";"";"Food & Drinks"
"05.11.2019";"Varekjøp Japo Sushi Skøy Karenslyst a Oslo Dato 05.11 kl. 18.07";"06.11.2019";"420,00";"";"Food & Drinks"
"05.11.2019";"Varekjøp Bolia A/S 228 Verkstedveie Oslo Dato 05.11 kl. 19.26";"06.11.2019";"12.558,00";"";"Home & Interior"
"04.11.2019";"Varekjøp Circle k Livold Livold Sør-audnedal Dato 04.11 kl. 13.31";"05.11.2019";"65,00";"";"Food & Drinks"
"04.11.2019";"Varekjøp Shell Stokkebak Europaveien Stathe Dato 04.11 kl. 17.14";"05.11.2019";"58,00";"";"Food & Drinks"
"04.11.2019";"Varekjøp Shell Stokkebak Europaveien Stathe Dato 04.11 kl. 16.58";"05.11.2019";"78,00";"";"Food & Drinks"
"03.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 03.11 kl. 11.42";"05.11.2019";"138,71";"";"Groceries"
"01.11.2019";"Varekjøp Eurospar Rugtve Eurpavn.139 Stathe Dato 01.11 kl. 19.02";"02.11.2019";"203,21";"";"Groceries"
"01.11.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 01.11 kl. 18.00";"02.11.2019";"289,00";"";"Groceries"
"31.10.2019";"Varekjøp Meny Lambertset c.thoresensv Oslo Dato 31.10 kl. 15.54";"01.11.2019";"638,20";"";"Groceries"
"31.10.2019";"Varekjøp Vinmonopolet Os Cecilie Thor Oslo Dato 31.10 kl. 16.00";"01.11.2019";"364,90";"";"Food & Drinks"
"31.10.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 31.10 kl. 17.32";"01.11.2019";"76,70";"";"Groceries"
"30.10.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 30.10 kl. 15.59";"31.10.2019";"350,29";"";"Groceries"
"30.10.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 30.10 kl. 22.19";"31.10.2019";"397,07";"";"Groceries"
"30.10.2019";"Varekjøp Pizza Panacotta Grefsenvn 6 Oslo Dato 30.10 kl. 22.03";"31.10.2019";"30,00";"";"Food & Drinks"
"29.10.2019";"Varekjøp Elkjøp Storo Vitaminvn 7/ Oslo Dato 29.10 kl. 20.36";"30.10.2019";"4.990,00";"";"Gadgets"
"29.10.2019";"Varekjøp Apotek 1, Løren Lørenvn. 63 Oslo Dato 29.10 kl. 15.39";"30.10.2019";"286,90";"";"Hygiene & Beauty"
"29.10.2019";"Varekjøp Meny Lambertset c.thoresensv Oslo Dato 29.10 kl. 16.32";"30.10.2019";"287,82";"";"Groceries"
"28.10.2019";"Visa  100022  Sek 1762,77 Nordby SupermarkeValutakurs: 0,9381";"30.10.2019";"1.653,83";"";"Groceries"
"28.10.2019";"Varekjøp Kiwi 592 Råde Mossevn. 50 Råde Dato 28.10 kl. 13.05";"29.10.2019";"104,50";"";"Groceries"
"27.10.2019";"Varekjøp Kato AS Mosseveien 4 Råde Dato 27.10 kl. 16.10";"29.10.2019";"9,00";"";"Groceries"
"27.10.2019";"Varekjøp Kato AS Mosseveien 4 Råde Dato 27.10 kl. 16.08";"29.10.2019";"518,00";"";"Groceries"
"27.10.2019";"Ubetjent Varekjøp Circle k Storeb E-6 Storebau Moss Dato 27.10 kl. 00.01";"29.10.2019";"635,99";"";"Transport"
"27.10.2019";"Varekjøp Rema Rade Sarpsborgvn Råde Dato 27.10 kl. 16.31";"29.10.2019";"714,53";"";"Groceries"
"26.10.2019";"Varekjøp Meny Løren Lørenvn 46 Oslo. Dato 26.10 kl. 15.46";"29.10.2019";"349,61";"";"Groceries"
"24.10.2019";"Varekjøp 278 Jernia Lambertseter Oslo Dato 24.10 kl. 15.39";"25.10.2019";"49,50";"";"Home & Interior"
"24.10.2019";"Varekjøp Meny Lambertset c.thoresensv Oslo Dato 24.10 kl. 15.50";"25.10.2019";"193,60";"";"Groceries"
"22.10.2019";"Varekjøp Tøyen Bakeri & Skatten Oslo Oslo Dato 22.10 kl. 17.01";"23.10.2019";"160,00";"";"Food & Drinks"
"21.10.2019";"Varekjøp Circle k Bø i t Bøgt. 30 Bø i Telem Dato 21.10 kl. 12.26";"22.10.2019";"10,00";"";"Food & Drinks"
"21.10.2019";"Varekjøp Circle k Bø i t Bøgt. 30 Bø i Telem Dato 21.10 kl. 12.25";"22.10.2019";"154,00";"";"Food & Drinks"
"18.10.2019";"Varekjøp Meny Seljord 3840 Seljord Dato 18.10 kl. 14.32";"18.10.2019";"310,57";"";"Groceries"
"18.10.2019";"Varekjøp Aasmundsen Bake Brøløsvegen Seljor Dato 18.10 kl. 14.40";"18.10.2019";"69,00";"";"Food & Drinks"
"18.10.2019";"Varekjøp Aasmundsen Bake Brøløsvegen Seljor Dato 18.10 kl. 11.45";"18.10.2019";"82,00";"";"Food & Drinks"
"17.10.2019";"Varekjøp All Verdas Gidl 3 Nesflaten Dato 17.10 kl. 19.27";"18.10.2019";"140,00";"";"Food & Drinks"
"17.10.2019";"Varekjøp 445 Europris Vekan Seljord Dato 17.10 kl. 12.08";"17.10.2019";"199,37";"";"Sports & Activities"
"17.10.2019";"Varekjøp Meny Seljord 3840 Seljord Dato 17.10 kl. 12.27";"17.10.2019";"176,70";"";"Groceries"
"16.10.2019";"Varekjøp Shell Fokserød Fokserødveie Sandef Dato 16.10 kl. 11.05";"16.10.2019";"5,00";"";"Food & Drinks"
"16.10.2019";"Varekjøp Cafe Bastø v Rustadbrygga Horten Dato 16.10 kl. 10.08";"16.10.2019";"32,00";"";"Food & Drinks"
"16.10.2019";"Varekjøp Shell Mortensru Nordkappveie Oslo Dato 16.10 kl. 08.34";"16.10.2019";"643,65";"";"Transport"
"15.10.2019";"Varekjøp Xxl Alna Strømsvn 245 Oslo Dato 15.10 kl. 17.11";"16.10.2019";"720,00";"";"Sports & Activities"
"15.10.2019";"Varekjøp Mekonomen Smalv.vn.46 0667 Oslo Dato 15.10 kl. 16.49";"16.10.2019";"649,00";"";"Transport"
"15.10.2019";"Varekjøp Storo Storsent. Vitaminveien Oslo Dato 15.10 kl. 16.05";"16.10.2019";"40,00";"";"Transport"
"15.10.2019";"Varekjøp Clas Ohl 2852 Vitaminveien Oslo Dato 15.10 kl. 15.57";"16.10.2019";"481,60";"";"Home & Interior"
"15.10.2019";"Varekjøp Biltema Avd 211 Strømsv.245 Oslo. Dato 15.10 kl. 17.28";"16.10.2019";"699,00";"";"Home & Interior"
"15.10.2019";"Overføring Innland  11448  Kreditering Kortholder Xxl Sport OgVi Oslo";"15.10.2019";"";"244,00";"Income"
"14.10.2019";"Varekjøp Sagene Frukt Ma Arendals Gat Oslo Dato 14.10 kl. 16.19";"15.10.2019";"175,00";"";"Groceries"
"14.10.2019";"Varekjøp Kikutstua AS Nordmarka 84 Oslo Dato 14.10 kl. 14.20";"15.10.2019";"139,00";"";"Food & Drinks"
"13.10.2019";"Varekjøp Kiwi 052 Ål Helsetunvn. Ål Dato 13.10 kl. 14.44";"15.10.2019";"88,50";"";"Groceries"
"13.10.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 13.10 kl. 19.27";"15.10.2019";"736,05";"";"Groceries"
"12.10.2019";"Varekjøp Granvin Daglegv Granvin Dato 12.10 kl. 11.20";"12.10.2019";"129,00";"";"Food & Drinks"
"11.10.2019";"Varekjøp Rema Øyrane Tor Ådnavegen 63 Indre Dato 11.10 kl. 17.09";"12.10.2019";"77,90";"";"Groceries"
"11.10.2019";"Varekjøp Rema Øyrane Tor Ådnavegen 63 Indre Dato 11.10 kl. 17.04";"12.10.2019";"129,30";"";"Groceries"
"11.10.2019";"Varekjøp Sarepta Blomste Øyrane Torg Manger Dato 11.10 kl. 17.08";"12.10.2019";"281,00";"";"Gifts"
"11.10.2019";"Varekjøp Ulriken 643-2 Haukelandsba Bergen Dato 11.10 kl. 14.08";"11.10.2019";"115,00";"";"Food & Drinks"
"11.10.2019";"Varekjøp Bergen Taxi AS Kokstadveien Koksta Dato 11.10 kl. 00.52";"11.10.2019";"239,00";"";"Transport"
"10.10.2019";"Visa  100021  Samferdselsetat";"16.10.2019";"28,00";"";"Transport"
"10.10.2019";"Visa  100021  Mf Oppedal 3";"12.10.2019";"150,00";"";"Transport"
"10.10.2019";"Varekjøp Fløibanen AS Fløifjellet Bergen Dato 10.10 kl. 17.34";"11.10.2019";"98,00";"";"Food & Drinks"
"10.10.2019";"Varekjøp Rema Dreggen Dreggsalmenn Bergen Dato 10.10 kl. 16.34";"11.10.2019";"67,66";"";"Groceries"
"10.10.2019";"Varekjøp Rema Dreggen Dreggsalmenn Bergen Dato 10.10 kl. 19.24";"11.10.2019";"228,80";"";"Groceries"
"10.10.2019";"Ubetjent Varekjøp Circle k Automa Lavik Lavik Dato 10.10 kl. 14.16";"10.10.2019";"544,16";"";"Transport"
"09.10.2019";"Visa  100021  Iz :svanoy Kro";"11.10.2019";"50,00";"";"Food & Drinks"
"09.10.2019";"Varekjøp Nærbutikken Sva Biskop Svane Svanøy Dato 09.10 kl. 15.35";"10.10.2019";"59,90";"";"Groceries"
"09.10.2019";"Varekjøp Nærbutikken Sva Biskop Svane Svanøy Dato 09.10 kl. 15.24";"10.10.2019";"48,00";"";"Groceries"
"09.10.2019";"Varekjøp Nærbutikken Sva Biskop Svane Svanøy Dato 09.10 kl. 12.15";"09.10.2019";"81,90";"";"Groceries"
"08.10.2019";"Visa  100021  Nya:flora Hamn Kf";"10.10.2019";"10,00";"";"Transport"
"08.10.2019";"Varekjøp Nærbutikken . Stavang Dato 08.10 kl. 16.10";"09.10.2019";"112,60";"";"Groceries"
"08.10.2019";"Varekjøp Nærbutikken . Stavang Dato 08.10 kl. 15.53";"09.10.2019";"109,90";"";"Groceries"
"08.10.2019";"Varekjøp Coop Marked Florø Florø Dato 08.10 kl. 14.15";"08.10.2019";"764,88";"";"Groceries"
"08.10.2019";"Varekjøp Vinmonopolet Florø Florø Dato 08.10 kl. 14.47";"08.10.2019";"489,80";"";"Food & Drinks"
"08.10.2019";"Varekjøp Lille Marked Strandgt 39 Florø Dato 08.10 kl. 12.28";"08.10.2019";"357,00";"";"Food & Drinks"
"05.10.2019";"Varekjøp Joker Kvammen Kvammen Kvammen Dato 05.10 kl. 11.33";"05.10.2019";"150,60";"";"Groceries"
"04.10.2019";"Visa  100121  Iz :lovland Spiser";"08.10.2019";"110,00";"";"Food & Drinks"
"04.10.2019";"Visa  100021  Iz :lovland Spiser";"08.10.2019";"360,00";"";"Food & Drinks"
"04.10.2019";"Varekjøp Rema Førde Hafstad Førde Dato 04.10 kl. 21.33";"05.10.2019";"722,21";"";"Groceries"
"04.10.2019";"Varekjøp Coop Marked Skei i Jølste Dato 04.10 kl. 16.59";"05.10.2019";"200,01";"";"Groceries"
"04.10.2019";"Varekjøp Fjord1 T-4000 Strandavegen Florø Dato 04.10 kl. 12.48";"04.10.2019";"140,00";"";"Transport"
"04.10.2019";"Varekjøp Fjellstua Aksla Fjellstua Ålesund Dato 04.10 kl. 10.28";"04.10.2019";"60,00";"";"Travel"
"03.10.2019";"Visa  100021  Atlanterhavstunnelen AS";"17.10.2019";"142,00";"";"Transport"
"03.10.2019";"Varekjøp Sjøbua Restaura Brunholmgata Ålesun Dato 03.10 kl. 19.49";"04.10.2019";"1.430,00";"";"Food & Drinks"
"03.10.2019";"Varekjøp Fjord1 T-4000 Strandavegen Florø Dato 03.10 kl. 16.27";"04.10.2019";"211,00";"";"Transport"
"03.10.2019";"Ubetjent Varekjøp Yx Averoy 0224 Averoey Dato 03.10 kl. 14.37";"03.10.2019";"611,88";"";"Transport"
"03.10.2019";"Varekjøp Rema Surnadal Øravegen 4 Surnadal Dato 03.10 kl. 11.47";"03.10.2019";"34,80";"";"Groceries"
"02.10.2019";"Varekjøp Yx Surnadal 010 3 Surnadal Dato 02.10 kl. 15.45";"03.10.2019";"295,00";"";"Transport"
"02.10.2019";"Varekjøp Surnadal Blomst Skeivegen 49 Surnad Dato 02.10 kl. 15.35";"03.10.2019";"460,00";"";"Gifts"
"02.10.2019";"Varekjøp Kårvatn Fjellut Øvre Todalen Todale Dato 02.10 kl. 13.08";"02.10.2019";"2.698,00";"";"Sports & Activities"
"01.10.2019";"Varekjøp Kiwi 119 Åfjord Stordalsv.2 Åfjord Dato 01.10 kl. 14.51";"01.10.2019";"181,80";"";"Groceries"
"01.10.2019";"Varekjøp Stokkøya Sjøsen Troningveien Stokkø Dato 01.10 kl. 11.35";"01.10.2019";"1.690,00";"";"Travel"
"30.09.2019";"Visa  100021  Thon Hotel Backlund Cp";"03.10.2019";"2.190,00";"";"Travel"
"30.09.2019";"Visa  100021  Taxi Midt-norge AS";"02.10.2019";"179,00";"";"Transport"
"30.09.2019";"Varekjøp Stokkøya Sjøsenter AS Stokkøy Dato 30.09 kl. 20.32";"01.10.2019";"1.150,00";"";"Food & Drinks"
"30.09.2019";"Varekjøp Kiwi 112 Kirkegata 73 Levanger Dato 30.09 kl. 12.31";"01.10.2019";"62,70";"";"Groceries"
"30.09.2019";"Varekjøp Kiwi 112 Kirkegata 73 Levanger Dato 30.09 kl. 12.29";"01.10.2019";"272,86";"";"Groceries"
"30.09.2019";"Varekjøp 7505 Yx 7-el Kirkegt 77 Levanger Dato 30.09 kl. 12.20";"01.10.2019";"571,95";"";"Transport"
"28.09.2019";"Varekjøp Sport Outlet Le Moafjæra 3 Levanger Dato 28.09 kl. 18.51";"01.10.2019";"150,00";"";"Sports & Activities"
